,User_ID,User_Name,Tweet_Text,location,Retweet_Count,Followers,Following,Account_Likes,Listed_Count,Account_Type,Created_at,Verified,Event,Label,Label,Label,Label,FINAL 
0,1.01E+18,R͜͡o͜͡w͜͡d͜͡y͜͡ G͜͡i͜͡r͜͡l͜͡ N͙a͙z͙e͙e͙f͙a͙h͙🇱🇰," Sialkot Businesses raise $100,000 for Priyantha Kumra &amp; will continue to send his salary to the family - Pakistan PM / N…",කොළඹ අහස යට❤️🇱🇰🇱🇰🇱🇰❤️,23,1255,876,33832,1,FALSE,6/13/2018 10:27,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
1,9.59E+17,Umer khaن," Sialkot business community announces USD 100,000 donation for #PriyanthaKumara's family. Rajco Industry #Sialkot announce…",None,1,5828,6378,56795,2,FALSE,2/2/2018 7:51,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
2,103839057,Gulrukh Tausif, Prime Minister  awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shield #Priyantha…,Pakistan,744,179,235,1915,32,FALSE,1/11/2010 12:22,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
3,1.38E+18,Sohail khan wazir, PM Imran Khan Prime Minister awarded a certificate of appreciation to #MalikAdnan who tried to save #PriyanthaDiyawadana against…,None,2,569,433,17640,0,FALSE,4/10/2021 4:24,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
4,1.37E+18,Zaid Haris offical,State of Madinah and non-Muslims.Sialkot tragedyFull video click this link below#Sialkot… ,"Islamabad, Pakistan",0,53,4,141,1,FALSE,3/15/2021 13:49,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
5,1.38E+18,Ubaid ullah,Prime Minister Imran Khan awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shield… ,None,0,15,329,24,0,FALSE,4/14/2021 9:37,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
6,2559273528,Maham, Prime Minister  awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shield #Priy…,🇵🇰,152,327,359,25395,0,FALSE,6/10/2014 15:45,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
7,112240246,Shoukat Ali, Prime Minister  awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shield #Priyanth…,Lahore,75,5177,4795,4258,30,FALSE,2/7/2010 19:15,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
8,2795494556,Brown & Desi," It’s was #Sialkot a few days back, today it’s #Faisalabad. Looks like there is some manufacturing defect in the people here…",Pakistan,2,2961,1084,21875,6,FALSE,9/7/2014 7:21,FALSE,#Sialkot,FAKE,FALSE,FAKE,FAKE,REAL
9,1.22E+18,Wisdom Up, There is no space for terrorism in Islam Ghamidi#Sialkot ,None,15,108,1380,18851,0,FALSE,1/13/2020 15:35,FALSE,#Sialkot,TRUE,FALSE,REAL,REAL,FAKE
